x,y,dataRateMbps
15,15,0
45,15,0
75,15,0
105,15,0
135,15,0
165,15,0
195,15,0
225,15,0
255,15,0
285,15,0
15,45,0
45,45,0
75,45,3
105,45,0
135,45,0
165,45,0
195,45,0
225,45,0
255,45,3
285,45,0
15,75,0
45,75,0
75,75,0
105,75,0
135,75,0
165,75,0
195,75,0
225,75,3
255,75,0
285,75,0
15,105,0
45,105,0
75,105,0
105,105,0
135,105,0
165,105,0
195,105,0
225,105,0
255,105,0
285,105,0
15,135,10
45,135,0
75,135,0
105,135,0
135,135,10
165,135,3
195,135,0
225,135,0
255,135,0
285,135,0
15,165,0
45,165,0
75,165,3
105,165,0
135,165,10
165,165,3
195,165,0
225,165,0
255,165,0
285,165,0
15,195,0
45,195,0
75,195,0
105,195,0
135,195,0
165,195,0
195,195,0
225,195,0
255,195,0
285,195,0
15,225,0
45,225,10
75,225,3
105,225,0
135,225,0
165,225,0
195,225,3
225,225,0
255,225,0
285,225,0
15,255,0
45,255,10
75,255,10
105,255,0
135,255,0
165,255,10
195,255,0
225,255,0
255,255,3
285,255,0
15,285,0
45,285,0
75,285,0
105,285,0
135,285,0
165,285,0
195,285,0
225,285,0
255,285,0
285,285,0
