topologyId,fmap1CoordinatesX,fmap1CoordinatesY,fmap2CoordinatesX,fmap2CoordinatesY,fmap3CoordinatesX,fmap3CoordinatesY,meanTxBitrateMbps,meanRxBitrateMbps,meanDelayMs,meanJitterMs,meanPdr,Scenario
1.0,255.0,15.0,285.0,75.0,105.0,285.0,3.164794,2.689776,450.0,2.2,0.8853975000000001,1
0.0,105.0,15.0,45.0,45.0,45.0,285.0,3.164794,2.7448522222222222,424.0,2.2,0.8787353,1
0.0,45.0,105.0,225.0,135.0,45.0,225.0,3.164794,2.8703969999999996,352.7,2.0,0.9323643,1
1.0,135.0,105.0,225.0,165.0,225.0,285.0,3.164794,2.8813699999999995,311.9,2.2,0.9133891000000001,1
2.0,105.0,15.0,105.0,195.0,45.0,255.0,3.164794,2.782602,421.6,2.6,0.9071545000000001,1
3.0,105.0,15.0,285.0,165.0,225.0,225.0,3.164794,2.968371,225.8,2.0,0.9617454999999999,1
4.0,105.0,45.0,75.0,105.0,225.0,105.0,3.164794,2.811863,342.7,2.0,0.9161705,1
5.0,135.0,105.0,15.0,165.0,45.0,165.0,3.164794,2.280056666666667,890.3,3.5,0.7479468,1
6.0,255.0,15.0,105.0,45.0,285.0,105.0,3.164794,2.6845330000000005,506.9,2.1,0.8655905,1
7.0,15.0,75.0,225.0,105.0,105.0,225.0,3.164794,2.926956,246.6,2.0,0.9454983,1
8.0,225.0,105.0,225.0,225.0,195.0,285.0,3.164794,2.752097,423.3,2.0,0.8880786,1
9.0,15.0,105.0,285.0,135.0,165.0,285.0,3.164794,3.025896,167.3,2.0,0.9740702000000001,1
1.0,15.0,75.0,255.0,105.0,15.0,285.0,3.164794,2.938066,238.8,2.0,0.9482305000000002,1
0.0,225.0,75.0,15.0,135.0,285.0,285.0,3.164794,2.933566,265.6,2.0,0.9515708,1
1.0,285.0,165.0,15.0,225.0,225.0,225.0,3.164794,2.7459409999999993,416.8,2.2,0.8873973999999999,1
2.0,75.0,105.0,135.0,255.0,285.0,255.0,3.164794,2.789983,431.3,2.3,0.8953346,1
3.0,105.0,135.0,165.0,195.0,105.0,285.0,3.164794,2.6730910000000003,515.7,2.1,0.8604701,1
4.0,45.0,15.0,195.0,75.0,225.0,105.0,3.164794,2.849528,296.3,2.0,0.9351546999999998,1
5.0,285.0,105.0,135.0,135.0,165.0,285.0,3.164794,2.8677090000000005,378.3,2.0,0.9256928,1
6.0,15.0,45.0,45.0,75.0,135.0,135.0,3.164794,2.1256949999999994,1224.5,6.0,0.7074736,1
7.0,45.0,165.0,105.0,165.0,105.0,255.0,3.164794,2.643741111111111,569.1,2.9,0.8421629000000002,1
8.0,15.0,45.0,15.0,75.0,195.0,285.0,3.164794,2.631893,546.5,2.5,0.8668428,1
9.0,45.0,165.0,225.0,165.0,105.0,195.0,3.164794,2.788055,451.1,2.0,0.921621,1
2.0,195.0,15.0,165.0,45.0,135.0,195.0,3.164794,2.616712,586.1,2.4,0.8578996999999999,1
0.0,105.0,135.0,75.0,165.0,135.0,195.0,3.164794,2.8119199999999998,362.5,2.0,0.9120056999999999,1
1.0,15.0,45.0,45.0,45.0,195.0,45.0,3.164794,2.662291,524.2,2.3,0.8601618,1
2.0,255.0,75.0,165.0,105.0,195.0,255.0,3.164794,2.8257250000000003,330.4,2.0,0.9216794,1
3.0,285.0,75.0,105.0,165.0,285.0,255.0,3.164794,2.6959690000000003,498.0,2.0,0.8702398,1
4.0,165.0,75.0,135.0,105.0,15.0,195.0,3.164794,2.9783340000000003,235.0,2.0,0.964552,1
5.0,255.0,45.0,105.0,105.0,105.0,285.0,3.164794,2.994237,197.7,2.0,0.9679436999999999,1
6.0,225.0,75.0,195.0,105.0,255.0,225.0,3.164794,2.8228,329.3,2.0,0.9107489000000001,1
7.0,45.0,45.0,195.0,225.0,75.0,285.0,3.164794,2.8201729999999996,373.8,2.0,0.9076179,1
8.0,195.0,45.0,75.0,165.0,225.0,225.0,3.164794,2.99364,205.9,2.0,0.9664278,1
9.0,105.0,15.0,135.0,15.0,255.0,105.0,3.164794,2.521406,619.0,2.8,0.8296633999999999,1
3.0,135.0,135.0,45.0,165.0,165.0,225.0,3.164794,2.932725,290.2,2.1,0.9478082000000001,1
0.0,255.0,15.0,225.0,75.0,195.0,105.0,3.164794,1.8834809999999997,1445.4,4.6,0.6222439,1
1.0,195.0,15.0,195.0,45.0,225.0,225.0,3.164794,2.7999970000000003,398.3,3.0,0.9061359,1
2.0,135.0,45.0,255.0,45.0,285.0,225.0,3.164794,2.6401670000000004,578.6,2.2,0.8708131,1
3.0,135.0,135.0,195.0,195.0,135.0,285.0,3.164794,2.6633660000000003,536.3,2.1,0.8669071,1
4.0,75.0,255.0,165.0,255.0,225.0,285.0,3.164794,2.735272,442.6,2.2,0.8991447000000001,1
5.0,105.0,15.0,105.0,75.0,195.0,75.0,3.164794,2.6091555555555552,570.1,2.2,0.8500008999999998,1
6.0,195.0,165.0,135.0,195.0,225.0,255.0,3.164794,2.781851,386.7,2.0,0.9141737999999998,1
7.0,285.0,165.0,165.0,255.0,225.0,255.0,3.164794,2.516482,687.6,2.9,0.8367504,1
8.0,75.0,15.0,75.0,135.0,105.0,165.0,3.164794,2.5690489999999997,596.0,2.2,0.8351367999999999,1
9.0,225.0,195.0,255.0,195.0,285.0,255.0,3.164794,1.96135375,1233.8,4.6,0.6541714,1
4.0,135.0,75.0,195.0,225.0,195.0,285.0,3.164794,2.8784822222222224,317.4,2.0,0.9243607,1
0.0,165.0,195.0,75.0,255.0,105.0,285.0,3.164794,2.294445,966.3,3.3,0.7375134999999999,1
1.0,285.0,135.0,225.0,165.0,105.0,255.0,3.164794,2.88446,290.0,2.0,0.9195237999999998,1
2.0,105.0,75.0,285.0,165.0,105.0,225.0,3.164794,3.003543,169.4,2.0,0.9709617999999999,1
3.0,105.0,15.0,255.0,165.0,75.0,285.0,3.164794,3.04861,138.7,2.0,0.9674728,1
4.0,135.0,225.0,45.0,255.0,255.0,285.0,3.164794,2.574739,641.1,2.7,0.8412244000000001,1
5.0,105.0,15.0,285.0,165.0,15.0,225.0,3.164794,2.9175122222222227,278.9,2.0,0.9387220000000001,1
6.0,195.0,135.0,45.0,195.0,45.0,285.0,3.164794,2.505808,673.5,2.6,0.8136386000000002,1
7.0,75.0,45.0,135.0,255.0,135.0,285.0,3.164794,2.9768160000000004,219.8,2.0,0.9530200000000001,1
8.0,45.0,105.0,45.0,165.0,255.0,285.0,3.164794,2.854977,333.3,2.1,0.9309911999999999,1
9.0,105.0,15.0,195.0,105.0,105.0,255.0,3.164794,3.0012999999999996,158.8,2.0,0.9632045999999999,1
5.0,195.0,135.0,45.0,195.0,75.0,255.0,3.164794,2.694502,496.4,2.0,0.8620251,1
0.0,75.0,75.0,75.0,195.0,165.0,255.0,3.164794,2.923762,289.7,2.6,0.9484341000000001,1
1.0,285.0,45.0,15.0,165.0,15.0,255.0,3.164794,2.821918,363.7,2.0,0.9198147999999999,1
2.0,105.0,105.0,15.0,195.0,135.0,225.0,3.164794,2.806794,402.0,2.0,0.9216408999999999,1
3.0,225.0,45.0,75.0,105.0,165.0,165.0,3.164794,2.943328,234.3,2.0,0.9479114,1
4.0,285.0,165.0,75.0,255.0,225.0,255.0,3.164794,2.830655,344.7,2.0,0.9219158000000001,1
5.0,105.0,195.0,195.0,195.0,75.0,255.0,3.164794,2.789401,380.9,2.1,0.9124244000000001,1
6.0,135.0,135.0,15.0,255.0,45.0,285.0,3.164794,2.161995,1173.3,4.6,0.7142728,1
7.0,135.0,135.0,255.0,195.0,225.0,225.0,3.164794,2.653363333333333,584.1,2.3,0.8597824000000001,1
8.0,45.0,45.0,135.0,165.0,165.0,285.0,3.164794,2.973045,243.8,2.0,0.9552040000000002,1
9.0,135.0,135.0,255.0,165.0,225.0,225.0,3.164794,2.658462,574.1,2.3,0.8663698999999999,1
6.0,45.0,45.0,225.0,225.0,45.0,285.0,3.164794,2.990881,212.5,2.0,0.9640867,1
0.0,105.0,45.0,75.0,75.0,195.0,195.0,3.164794,2.685977,495.2,2.2,0.8869035000000001,1
1.0,255.0,45.0,225.0,75.0,75.0,225.0,3.164794,2.8329809999999997,350.1,2.2,0.9133206999999999,1
2.0,255.0,15.0,105.0,195.0,225.0,255.0,3.164794,2.960772,220.9,2.2,0.9589885,1
3.0,75.0,105.0,225.0,225.0,165.0,285.0,3.164794,2.826108,416.5,3.0,0.9143559,1
4.0,105.0,135.0,75.0,225.0,105.0,285.0,3.164794,2.4207520000000002,693.9,3.2,0.7971109999999999,1
5.0,135.0,45.0,255.0,45.0,225.0,285.0,3.164794,2.774147,398.9,2.0,0.8994684000000002,1
6.0,15.0,45.0,255.0,135.0,285.0,285.0,3.164794,2.9143689999999998,312.5,2.0,0.9370506000000001,1
7.0,105.0,45.0,135.0,195.0,285.0,195.0,3.164794,2.97727,217.4,2.0,0.9627373,1
8.0,165.0,45.0,225.0,165.0,195.0,195.0,3.164794,2.8163560000000003,378.5,2.0,0.9218685000000001,1
9.0,105.0,45.0,225.0,225.0,75.0,255.0,3.164794,2.988043,191.2,2.0,0.9545125000000001,1
7.0,225.0,225.0,225.0,255.0,255.0,255.0,3.164794,1.94286125,1330.5,4.5,0.6419508,1
0.0,135.0,75.0,105.0,105.0,75.0,225.0,3.164794,2.9124589999999997,264.4,2.0,0.9425800000000001,1
1.0,75.0,45.0,195.0,75.0,135.0,135.0,3.164794,2.7579529999999997,431.9,2.2,0.9023899,1
2.0,165.0,195.0,165.0,225.0,195.0,255.0,3.164794,2.250356,995.1,3.7,0.736672,1
3.0,255.0,45.0,195.0,165.0,255.0,165.0,3.164794,2.453021,781.9,3.0,0.7896992,1
4.0,15.0,105.0,75.0,105.0,15.0,225.0,3.164794,2.307725,933.7,3.3,0.7630655,1
5.0,75.0,15.0,225.0,75.0,165.0,285.0,3.164794,2.929469,241.7,2.0,0.9374492999999999,1
6.0,75.0,15.0,225.0,105.0,45.0,195.0,3.164794,2.8954060000000004,287.1,2.0,0.9377077,1
7.0,255.0,105.0,225.0,195.0,225.0,255.0,3.164794,2.758667,367.8,2.2,0.8967993999999999,1
8.0,135.0,135.0,225.0,165.0,15.0,255.0,3.164794,2.90918,303.4,2.0,0.9403748000000001,1
9.0,45.0,15.0,225.0,75.0,75.0,285.0,3.164794,2.956564,208.1,2.0,0.9450474,1
8.0,135.0,15.0,165.0,75.0,75.0,195.0,3.164794,2.772137777777777,409.2,2.1,0.8987604000000001,1
0.0,195.0,45.0,15.0,195.0,195.0,285.0,3.164794,3.063593,135.5,2.0,0.9839309,1
1.0,225.0,15.0,105.0,165.0,285.0,165.0,3.164794,2.666569,512.0,2.4,0.8689702,1
2.0,105.0,135.0,135.0,195.0,195.0,195.0,3.164794,2.852549,331.1,2.1,0.9338019,1
3.0,45.0,165.0,75.0,195.0,15.0,285.0,3.164794,2.553995,637.8,2.7,0.8264832,1
4.0,285.0,165.0,165.0,225.0,255.0,285.0,3.164794,2.5374659999999998,654.3,2.7,0.8339993,1
5.0,255.0,15.0,165.0,45.0,75.0,75.0,3.164794,2.799024,430.0,2.2,0.9165132,1
6.0,135.0,165.0,15.0,195.0,255.0,285.0,3.164794,2.701883333333333,501.1,2.0,0.8662482,1
7.0,135.0,45.0,15.0,195.0,225.0,255.0,3.164794,3.005299,190.3,2.0,0.9674525,1
8.0,285.0,15.0,135.0,45.0,255.0,195.0,3.164794,2.766917,409.9,2.1,0.9061134,1
9.0,255.0,165.0,45.0,195.0,285.0,285.0,3.164794,2.791526,383.8,2.0,0.9132934,1
9.0,285.0,75.0,15.0,195.0,45.0,195.0,3.164794,2.7647999999999997,400.8,2.0,0.9002932999999999,1
0.0,15.0,135.0,195.0,165.0,195.0,225.0,3.164794,2.8629430000000005,300.8,2.0,0.9422310999999999,1
1.0,75.0,75.0,45.0,105.0,135.0,285.0,3.164794,2.71722,470.2,2.3,0.880486,1
2.0,105.0,45.0,165.0,105.0,195.0,105.0,3.164794,2.769363,417.0,2.3,0.9060335,1
3.0,195.0,75.0,255.0,165.0,45.0,285.0,3.164794,2.919179,251.6,2.0,0.9311406,1
4.0,225.0,135.0,45.0,225.0,105.0,285.0,3.164794,2.68401,565.3,2.6,0.8734652,1
5.0,165.0,105.0,45.0,225.0,195.0,225.0,3.164794,2.939249,226.2,2.0,0.9380201999999999,1
6.0,165.0,195.0,105.0,285.0,285.0,285.0,3.164794,2.4581790000000003,725.1,3.0,0.793706,1
7.0,255.0,105.0,165.0,195.0,135.0,225.0,3.164794,2.966658,224.2,2.0,0.9680109,1
8.0,255.0,15.0,255.0,165.0,105.0,195.0,3.164794,2.8108750000000002,337.5,2.2,0.9064745000000001,1
9.0,75.0,75.0,165.0,75.0,195.0,165.0,3.164794,2.8067279999999997,383.6,2.0,0.8952262000000001,1
2.0,135.0,15.0,285.0,105.0,15.0,225.0,3.164794,2.952488,228.1,2.0,0.9583774000000002,1
0.0,15.0,45.0,255.0,75.0,285.0,165.0,3.164794,2.8625499999999997,289.2,2.1,0.9274143,1
0.0,105.0,15.0,225.0,45.0,75.0,285.0,3.164794,2.9165219999999996,284.7,2.0,0.9324366999999999,1
1.0,255.0,45.0,135.0,195.0,165.0,225.0,3.164794,3.003601,205.9,2.0,0.967473,1
2.0,75.0,15.0,75.0,105.0,195.0,285.0,3.164794,2.9157129999999998,265.2,2.0,0.9517901,1
3.0,225.0,45.0,75.0,195.0,75.0,225.0,3.164794,2.9542010000000003,205.7,2.1,0.9542543,1
4.0,165.0,105.0,285.0,135.0,75.0,195.0,3.164794,2.9573159999999996,215.2,2.0,0.9581119000000001,1
5.0,285.0,135.0,165.0,165.0,135.0,255.0,3.164794,2.9161360000000003,283.8,2.0,0.9443441,1
6.0,285.0,75.0,195.0,195.0,45.0,255.0,3.164794,3.002899,185.5,2.0,0.9684696,1
7.0,225.0,75.0,165.0,105.0,45.0,285.0,3.164794,2.7950369999999998,381.7,2.0,0.9047725999999999,1
8.0,75.0,45.0,285.0,165.0,75.0,225.0,3.164794,3.0461979999999995,130.1,2.0,0.9712420999999999,1
9.0,75.0,15.0,105.0,165.0,165.0,285.0,3.164794,2.9101980000000003,263.5,2.0,0.9465855,1
3.0,135.0,105.0,255.0,195.0,75.0,225.0,3.164794,2.928736,240.8,1.9,0.9436306999999999,1
0.0,105.0,105.0,105.0,255.0,195.0,285.0,3.164794,2.8289440000000003,355.4,2.0,0.9236575,1
1.0,255.0,45.0,45.0,195.0,75.0,225.0,3.164794,2.941826,268.2,2.0,0.952507,1
2.0,285.0,15.0,225.0,75.0,45.0,105.0,3.164794,2.640634,545.7,2.4,0.8551176999999999,1
3.0,135.0,135.0,75.0,195.0,135.0,195.0,3.164794,2.835654,338.6,2.0,0.9271958,1
4.0,15.0,45.0,285.0,75.0,165.0,105.0,3.164794,2.775652,382.4,2.0,0.9009653999999999,1
5.0,165.0,15.0,15.0,195.0,285.0,225.0,3.164794,2.986582,198.8,2.0,0.9602575,1
6.0,15.0,135.0,15.0,165.0,165.0,165.0,3.164794,2.339527,965.4,3.2,0.7620774,1
7.0,285.0,15.0,15.0,165.0,75.0,225.0,3.164794,2.938343,261.6,2.0,0.9529761999999998,1
8.0,165.0,15.0,75.0,135.0,45.0,225.0,3.164794,2.957468,229.7,2.0,0.9496836999999999,1
9.0,75.0,75.0,75.0,225.0,255.0,255.0,3.164794,2.992031,209.3,2.5,0.9637864,1
4.0,135.0,75.0,195.0,135.0,195.0,285.0,3.164794,2.978596,212.6,2.0,0.9640099,1
